company_name,cik,has_exhibit21,exhibit21_url,subsidiary_count,reason
Mondelez International Inc,1103982,True,https://www.sec.gov/Archives/edgar/data/1103982/000110398225000030/ex211_123124.htm,100,Exhibit-21 found
Moneylion Inc,1067983,True,https://www.sec.gov/Archives/edgar/data/1067983/000095017025025210/brka-ex21.htm,219,Exhibit-21 found
Mongodb Inc,1441816,False,,0,"10-K found, but Exhibit-21 missing"
Monogram Technologies Inc,1321834,False,,0,"10-K found, but Exhibit-21 missing"
Monolithic Power Systems Inc,1280452,False,,0,"10-K found, but Exhibit-21 missing"
Monopar Therapeutics,1645469,False,,0,"10-K found, but Exhibit-21 missing"
Monro Inc,876427,False,,0,"10-K found, but Exhibit-21 missing"
Monroe Federal Bancorp Inc,2024899,True,https://www.sec.gov/Archives/edgar/data/2024899/000155837025009080/mroe-20250331xex21.htm,1,Exhibit-21 found
Monster Beverage Corp,865752,True,https://www.sec.gov/Archives/edgar/data/865752/000141057825000248/mnst-20241231xex21.htm,62,Exhibit-21 found
Montauk Renewables Inc,1826600,True,https://www.sec.gov/Archives/edgar/data/1826600/000095017025039495/mntk-ex21_1.htm,27,Exhibit-21 found
Monte Rosa Therapeutics Inc,1826457,True,https://www.sec.gov/Archives/edgar/data/1826457/000095017025042344/glue-ex21_1.htm,1,Exhibit-21 found
Montrose Environmental Group Inc,1643615,True,https://www.sec.gov/Archives/edgar/data/1643615/000095017025030806/meg-ex21_1.htm,37,Exhibit-21 found
Moodys Corp,1059556,False,,0,"10-K found, but Exhibit-21 missing"
MOOG Inc,67887,False,,0,"10-K found, but Exhibit-21 missing"
Moonlake Immunotherapeutics,1821586,False,,0,"10-K found, but Exhibit-21 missing"
Morgan Stanley,895421,False,,0,"10-K found, but Exhibit-21 missing"
Mosaic Co,1285785,False,,0,"10-K found, but Exhibit-21 missing"
Mosaic Immunoengineering Inc,836564,True,https://www.sec.gov/Archives/edgar/data/836564/000168316825002584/mosaic_ex2100.htm,1,Exhibit-21 found
Motorcar Parts OF America Inc,918251,True,https://www.sec.gov/Archives/edgar/data/918251/000114036125021940/ef20046978_ex21-1.htm,12,Exhibit-21 found
Motorola Solutions Inc,68505,True,https://www.sec.gov/Archives/edgar/data/68505/000006850525000012/msiex212024.htm,21,Exhibit-21 found
Motorsport Games Inc,1821175,True,https://www.sec.gov/Archives/edgar/data/1821175/000149315225011033/ex21-1.htm,5,Exhibit-21 found
Motus GI Holdings Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Mountain Crest Acquisition Corp V,1859035,False,,0,"10-K found, but Exhibit-21 missing"
Mountain Lake Acquisition Corp,2029492,False,,0,"10-K found, but Exhibit-21 missing"
Movado Group Inc,72573,True,https://www.sec.gov/Archives/edgar/data/72573/000095017025054522/mov-ex21_1.htm,15,Exhibit-21 found
Movano Inc,1734750,True,https://www.sec.gov/Archives/edgar/data/1734750/000121390025030345/ea022715301ex21-1_movano.htm,2,Exhibit-21 found
Movella Holdings Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Moving Image Technologies Inc,1770236,False,,0,"10-K found, but Exhibit-21 missing"
MSCI Inc,1408198,True,https://www.sec.gov/Archives/edgar/data/1408198/000140819825000053/msci-20241231x10kex211.htm,5,Exhibit-21 found
MSP Recovery Inc,1802450,True,https://www.sec.gov/Archives/edgar/data/1802450/000095017025054434/mspr-ex21_1.htm,35,Exhibit-21 found
M-Tron Industries Inc,1902314,False,,0,"10-K found, but Exhibit-21 missing"
Mueller Industries Inc,89439,False,,0,"10-K found, but Exhibit-21 missing"
Mueller Water Products Inc,1350593,False,,0,"10-K found, but Exhibit-21 missing"
Mullen Automotive Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Multi Solutions II Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Multiplan Corp,70858,True,https://www.sec.gov/Archives/edgar/data/70858/000007085825000139/bac-1231202410xkex21.htm,34,Exhibit-21 found
Multisensor AI Holdings Inc,1863990,False,,0,"10-K found, but Exhibit-21 missing"
Muncy Columbia Financial Corp,731122,True,https://www.sec.gov/Archives/edgar/data/731122/000183988225014475/ex21-1.htm,1,Exhibit-21 found
Mural Oncology PLC,1971543,True,https://www.sec.gov/Archives/edgar/data/1971543/000095017025037138/mura-ex21_1.htm,1,Exhibit-21 found
Murphy OIL Corp,717423,True,https://www.sec.gov/Archives/edgar/data/717423/000071742325000006/mur-20241231xex211.htm,2,Exhibit-21 found
Murphy USA Inc,1573516,False,,0,"10-K found, but Exhibit-21 missing"
Mustang BIO Inc,1680048,False,,0,"10-K found, but Exhibit-21 missing"
MVB Financial Corp,1277902,False,,0,"10-K found, but Exhibit-21 missing"
My City Builders Inc,1556801,False,,0,"10-K found, but Exhibit-21 missing"
My Size Inc,1211805,False,,0,"10-K found, but Exhibit-21 missing"
Myers Industries Inc,69488,True,https://www.sec.gov/Archives/edgar/data/69488/000095017025034598/mye-ex21.htm,23,Exhibit-21 found
Myomo Inc,1369290,True,https://www.sec.gov/Archives/edgar/data/1369290/000095017025036349/myo-ex21_1.htm,1,Exhibit-21 found
MYR Group Inc,700923,False,,0,"10-K found, but Exhibit-21 missing"
Myriad Genetics Inc,899923,True,https://www.sec.gov/Archives/edgar/data/899923/000089992325000019/mygn-q42024ex211.htm,6,Exhibit-21 found
N2Off Inc,1789192,True,https://www.sec.gov/Archives/edgar/data/1789192/000164117225001513/ex21-1.htm,4,Exhibit-21 found
Nabors Energy Transition Corp II,1975218,False,,0,"10-K found, but Exhibit-21 missing"
Nabors Industries Ltd,1163739,True,https://www.sec.gov/Archives/edgar/data/1163739/000155837025000926/nbr-20241231xex21.htm,9,Exhibit-21 found
Nacco Industries Inc,789933,False,,0,"10-K found, but Exhibit-21 missing"
Nano Magic Inc,891417,True,https://www.sec.gov/Archives/edgar/data/891417/000149315224012969/ex21-1.htm,0,Exhibit-21 found
Nano Nuclear Energy Inc,1923891,False,,0,"10-K found, but Exhibit-21 missing"
Nanophase Technologies Corp,2186,False,,0,"10-K found, but Exhibit-21 missing"
Nanovibronix Inc,1326706,True,https://www.sec.gov/Archives/edgar/data/1326706/000164117225001613/ex21-1.htm,2,Exhibit-21 found
Nanoviricides Inc,1379006,False,,0,"10-K found, but Exhibit-21 missing"
Nanthealth Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
NAPC Defense Inc,1703625,False,,0,"10-K found, but Exhibit-21 missing"
Nasdaq Inc,1120193,True,https://www.sec.gov/Archives/edgar/data/1120193/000112019325000008/ndaq12312024ex-211.htm,80,Exhibit-21 found
NATE S FOOD Co,2070829,False,,0,No 10-K found
Natera Inc,1604821,False,,0,"10-K found, but Exhibit-21 missing"
Nathans Famous Inc,69733,False,,0,"10-K found, but Exhibit-21 missing"
National Bankshares Inc,796534,True,https://www.sec.gov/Archives/edgar/data/796534/000095017025046763/nksh-ex21.htm,5,Exhibit-21 found
National Cinemedia Inc,1377630,True,https://www.sec.gov/Archives/edgar/data/1377630/000095017025034706/ncmi-ex21_1.htm,6,Exhibit-21 found
National Health Investors Inc,877860,True,https://www.sec.gov/Archives/edgar/data/877860/000087786025000027/nhi-12312024x10kex21.htm,41,Exhibit-21 found
National Healthcare Corp,1047335,False,,0,"10-K found, but Exhibit-21 missing"
National Presto Industries Inc,80172,False,,0,"10-K found, but Exhibit-21 missing"
National Research Corp,70487,False,,0,"10-K found, but Exhibit-21 missing"
National Rural Utilities Cooperative Finance Corp,70502,False,,0,"10-K found, but Exhibit-21 missing"
National Storage Affiliates Trust,1618563,True,https://www.sec.gov/Archives/edgar/data/1618563/000162828025008656/ex211q42024listofsubsidiar.htm,266,Exhibit-21 found
National Vision Holdings Inc,1710155,False,,0,"10-K found, but Exhibit-21 missing"
Natural GAS Services Group Inc,1084991,True,https://www.sec.gov/Archives/edgar/data/1084991/000108499125000024/a123124-ngsxex211subsidiar.htm,2,Exhibit-21 found
Natural Health Trends Corp,912061,False,,0,"10-K found, but Exhibit-21 missing"
Natural Resource Partners LP,1171486,False,,0,"10-K found, but Exhibit-21 missing"
Naturalshrimp Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Nature S Miracle Holding Inc,1947861,False,,0,"10-K found, but Exhibit-21 missing"
Natures Sunshine Products Inc,275053,True,https://www.sec.gov/Archives/edgar/data/275053/000162828025012082/natr-12312024xex21subs.htm,18,Exhibit-21 found
Nauticus Robotics Inc,1849820,False,,0,"10-K found, but Exhibit-21 missing"
Nautilus Biotechnology Inc,1808805,False,,0,"10-K found, but Exhibit-21 missing"
Navient Corp,1593538,True,https://www.sec.gov/Archives/edgar/data/1593538/000095017025029207/navi-ex21_1.htm,4,Exhibit-21 found
Navitas Semiconductor Corp,1821769,False,,0,"10-K found, but Exhibit-21 missing"
NAYA Biosciences Inc,1676725,False,,0,"10-K found, but Exhibit-21 missing"
NB Bancorp Inc,1979330,False,,0,"10-K found, but Exhibit-21 missing"
NBT Bancorp Inc,790359,True,https://www.sec.gov/Archives/edgar/data/790359/000114036125006528/ef20039015_ex21.htm,14,Exhibit-21 found
Ncino Inc,1902733,False,,0,"10-K found, but Exhibit-21 missing"
NCR Atleos Corp,1974138,False,,0,"10-K found, but Exhibit-21 missing"
NCR Voyix Corp,70866,False,,0,"10-K found, but Exhibit-21 missing"
NCS Multistage Holdings Inc,1692427,False,,0,"10-K found, but Exhibit-21 missing"
Nektar Therapeutics,906709,True,https://www.sec.gov/Archives/edgar/data/906709/000095017025039389/nktr-ex21_1.htm,0,Exhibit-21 found
Nelnet Inc,1258602,False,,0,"10-K found, but Exhibit-21 missing"
Nemaura Medical Inc,320193,False,,0,"10-K found, but Exhibit-21 missing"
Neogen Corp,711377,True,https://www.sec.gov/Archives/edgar/data/711377/000095017025100064/neog-ex21.htm,25,Exhibit-21 found
