CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00104083,RITE AID CORPORATION PAC,RITE AID CORPORATION,Q,C,rite aid corporation,0.0,False,,
C00104109,ARCELORMITTAL SALES AND ADMINISTRATION LLC PAC (ARCELORMITTAL PAC),ARCELORMITTAL SALES AND ADMINISTRATION LLC,Q,C,arcelormittal sales administration llc arcelormittal,1110.0,true,2022,2022
C00104299,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,JPMORGAN CHASE & CO. PAC,Q,C,jpmorgan chase co federal,193790.0,true,2016,2020
C00104687,AO SMITH CORPORATION POLITICAL ACTION COMMITTEE (AOSPAC),A. O. SMITH CORPORATION,Q,C,ao smith corporation aospac,3000.0,true,2016,2018
C00104802,DELTA AIR LINES PAC,MONROE ENERGY LLC FUELING THE CLIMB POLITICAL ACTION COMMITTEE,Q,C,delta air lines,520738.33,true,2016,2026
C00107300,AMERICAN AIRLINES INC. POLITICAL ACTION COMMITTEE (AAPAC),AMERICAN AIRLINES INC.,Q,C,american airlines inc aapac,346849.2,true,2016,2026
C00107771,XCEL ENERGY EMPLOYEE POLITICAL ACTION COMMITTEE (XPAC),XCEL ENERGY,Q,C,xcel energy employee xpac,36000.0,true,2016,2026
C00108035,MCKESSON CORPORATION EMPLOYEES POLITICAL FUND,MCKESSON CORPORATION,Q,C,mckesson corporation,227650.0,true,2016,2020
C00108209,"DOMINION ENERGY, INC. POLITICAL ACTION COMMITTEE - DOMINION PAC","DOMINION ENERGY, INC.",Q,C,dominion energy inc dominion,181043.54,true,2018,2026
C00109017,AT&T INC./WARNERMEDIA LLC FEDERAL POLITICAL ACTION COMMITTEE (AT&T/WARNERMEDIA FEDERAL PAC),AT&T INC.,Q,C,at t inc warnermedia llc federal at t warnermedia federal,0.0,False,,
