message_id,email_date,email_subject,company,industry,subsidiary_of,section_type,event_type,executive_name,old_position,new_position,effective_date,posted_date,raw_event_text
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Personal Genome Diagnostics,Biotechnology,LabCorp,Changes,unparsed,,,,,December 20,"within the existing contacts: Megan Bailey, who was, is promoted to (posted on December 20)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Universal Display,Consumer Electronics,,Changes,unparsed,,,,,December 20,"within the existing contacts:Sherwin Seligsohn, Chairman Emeritus has passed away. We are deeply saddened (posted on December 20)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Nelnet,Financial Services,,Changes,unparsed,,,,,December 19,"within the existing contacts:William Cintani, Director has passed away. We are deeply saddened (posted on December 19)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Great American Crop,Insurance,Great American,Changes,unparsed,,,,,December 15,"Tim Weber, Divisional President, will retire in Mar. 2023 (posted on December 15)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Chubb Accident & Health,Insurance,Chubb,Changes,unparsed,,,,,December 13,"within the existing contacts:Sushmita Shukla, Senior Vice President, Chief Operations Officer, International Accident and Health, will leave the company in Mar. 2023 (posted on December 13)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Vantage Data Centers,Software,DigitalBridge Group,Changes,unparsed,,,,,December 12,"within the existing contacts:Matt Silvers, Senior Director of Operations, is retiring (posted on December 12)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Alphacat Managers,Insurance,Validus,Changes,unparsed,,,,,December 12,"within the existing contacts: Paschal Brooks, who was, is promoted to (posted on December 12)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Warner Bros. Discovery U.S. Networks Group,Broadcasting,Warner Bros. Discovery,Changes,unparsed,,,,,December 9,"within the existing contacts: Scott Lewers, who was, is promoted to (posted on December 9)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Morningstar Australasia,Financial Services,Morningstar,Changes,unparsed,,,,,December 8,"Tim Murphy, Director of Manager Research, Asia-Pacific, will leave the company in Jan. 2023 (posted on December 8)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Cowen Markets,Financial Services,Cowen Group,Changes,unparsed,,,,,December 7,"within the existing contacts: Eric Rose, who was, is promoted to (posted on December 7)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Sky,Broadcasting,Comcast,Changes,unparsed,,,,,December 7,"within the existing contacts:John Ryley, who is Head of Sky News will soon leave the company (posted on December 7)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Navico,Consumer Electronics,Brunswick,Changes,unparsed,,,,,December 5,"within the existing contacts: Knut Frostad who was, becomes (posted on December 5)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,Bswift,Recruiting,Aetna,Changes,unparsed,,,,,December 2,"within the existing contacts:Jin Oak Ha, who is President and Chief Executive Officer will soon leave the company (posted on December 2)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,New York Community Bancorp,Banking,,Changes,unparsed,,,,,December 1,"Lee Smith, who was, is promoted to (posted on December 1)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,New York Community Bancorp,Banking,,Changes,unparsed,,,,,December 1,"Jennifer Charters who was, becomes (posted on December 1)."
1856c010eea6f6ec,2023-01-01T01:23:07+00:00,895 News on Russell 3000,New York Community Bancorp,Banking,,Changes,unparsed,,,,,December 1,"Alessandro DiNello who was, becomes (posted on December 1)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,China Resources Land,Real Estate,China Resources,Changes,unparsed,,,,,December 28,"within the existing contacts:Liang Zhang, Non-Executive Director, is retiring (posted on December 28)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Santander,Banking,,Changes,unparsed,,,,,December 23,"Keiran Foad, Senior Executive Vice President, Group Chief Risk Officer, will leave the company in Mar. 2023 (posted on December 23)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Xiaomi,Consumer Electronics,,Changes,unparsed,,,,,December 23,"Wang Chuan, who is Chief Strategy Officer will soon leave the company (posted on December 23)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Plaza Construction,Construction,China State,Changes,unparsed,,,,,December 23,"within the existing contacts: Brad Meltzer who was, becomes (posted on December 23)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Bank of The West,Banking,BancWest,Changes,unparsed,,,,,December 22,"within the existing contacts: Hisham Salama who was, becomes (posted on December 22)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Alphacat Managers,Insurance,Validus,Changes,unparsed,,,,,December 12,"within the existing contacts: Paschal Brooks, who was, is promoted to (posted on December 12)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,GSK France,Pharmaceuticals,GSK,Changes,unparsed,,,,,December 9,"within the existing contacts: Sophie Muller, who was, is promoted to (posted on December 9)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Ausbil,Holding,New York Life Investment Management,Changes,unparsed,,,,,December 8,"Ross Youngman, Chief Executive Officer, will leave the company in Sep. 2023 (posted on December 8)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Sky,Broadcasting,Comcast,Changes,unparsed,,,,,December 7,"within the existing contacts:John Ryley, who is Head of Sky News will soon leave the company (posted on December 7)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Deutsche Bank MEA,Banking,Deutsche Bank,Changes,unparsed,,,,,December 6,"within the existing contacts: Thamer Saleh Alsedais who was, becomes (posted on December 6)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Boeing International,Aerospace,Boeing,Changes,unparsed,,,,,December 5,"Michael Arthur, President, will retire in Jan. 2023 (posted on December 5)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,MUFG Bank Europe,Banking,MUFG Bank,Changes,unparsed,,,,,December 2,"within the existing contacts: Hideaki Takase who was, becomes (posted on December 2)."
1856c010c56463ba,2023-01-01T01:23:05+00:00,491 News on Global Fortune 500,Bswift,Recruiting,Aetna,Changes,unparsed,,,,,December 2,"within the existing contacts:Jin Oak Ha, who is President and Chief Executive Officer will soon leave the company (posted on December 2)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Everest Re,Reinsurance,,Changes,unparsed,,,,,December 30,"within the existing contacts:John Weber, Director has passed away. We are deeply saddened (posted on December 30)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Revive,Communication & Sales,Weber Shandwick,Changes,unparsed,,,,,December 29,"within the existing contacts: Joanne Thornton who was, becomes (posted on December 29)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Personal Genome Diagnostics,Biotechnology,LabCorp,Changes,unparsed,,,,,December 20,"within the existing contacts: Megan Bailey, who was, is promoted to (posted on December 20)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,GC Global Specialties,Reinsurance,Guy Carpenter,Changes,unparsed,,,,,December 20,"within the existing contacts: Kevin Fisher who was, becomes (posted on December 20)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Alphacat Managers,Insurance,Validus,Changes,unparsed,,,,,December 12,"within the existing contacts: Paschal Brooks, who was, is promoted to (posted on December 12)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Warner Bros. Discovery U.S. Networks Group,Broadcasting,Warner Bros. Discovery,Changes,unparsed,,,,,December 9,"within the existing contacts: Scott Lewers, who was, is promoted to (posted on December 9)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Northern Trust Wealth Management,Financial Services,Northern Trust,Changes,unparsed,,,,,December 8,"within the existing contacts: Curtiss Smith who was, becomes (posted on December 8)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Sky,Broadcasting,Comcast,Changes,unparsed,,,,,December 7,"within the existing contacts:John Ryley, who is Head of Sky News will soon leave the company (posted on December 7)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Slack Technologies,Telecommunications,Salesforce.com,Changes,unparsed,,,,,December 6,"Stewart Butterfield, Chief Executive Officer, will leave the company in Jan. 2023 (posted on December 6)."
1856c01062de0e20,2023-01-01T01:23:04+00:00,353 News on S&P 500,Bswift,Recruiting,Aetna,Changes,unparsed,,,,,December 2,"within the existing contacts:Jin Oak Ha, who is President and Chief Executive Officer will soon leave the company (posted on December 2)."
184cc5c0beb8ddf6,2022-12-01T01:23:02+00:00,360 News on Global Fortune 500,Carrefour Taiwan,Retail,Carrefour,Changes,unparsed,,,,,November 28,"within the existing contacts:Patrick Le Thoer, Supermarket Business Director, has been withdrawn from the org chart (posted on November 28)."
184cc5c0beb8ddf6,2022-12-01T01:23:02+00:00,360 News on Global Fortune 500,Canon Solutions America,Software,Canon USA,Changes,unparsed,,,,,November 28,within the existing contacts:Mark Waugh is promoted to Vice President of Sales (posted on November 28).
