company,company_norm,ticker_candidates_str
"CULLEN/FROST BANKERS, INC.",CULLEN FROST BANKERS,CFR|CFR.PRB
"Customers Bancorp, Inc.",CUSTOMERS BANCORP,CUBB|CUBI|CUBI.PRF
"DIGITAL REALTY TRUST, INC.",DIGITAL REALTY TRUST,DLR|DLR.PRJ|DLR.PRK|DLR.PRL
"DigitalBridge Group, Inc.",DIGITALBRIDGE,DBRG|DBRG.PRH|DBRG.PRI|DBRG.PRJ
"Dime Community Bancshares, Inc. /NY/",DIME COMMUNITY BANCSHARES,DCOM|DCOMP
Direct Selling Acquisition Corp.,DIRECT SELLING ACQUISITION,DSAQ|DSAQU
DIVERSIFIED HEALTHCARE TRUST,DIVERSIFIED HEALTHCARE TRUST,DHC|DHCNI|DHCNL
"dMY Squared Technology Group, Inc.",DMY SQUARED TECHNOLOGY,DMYY|DMYYU
DONEGAL GROUP INC,DONEGAL,DGICA|DGICB
DT Cloud Acquisition Corp,DT CLOUD ACQUISITION,DYCQ|DYCQR|DYCQU
DT Cloud Star Acquisition Corp,DT CLOUD STAR ACQUISITION,DTSQ|DTSQR|DTSQU
Dynamix Corp,DYNAMIX,ETHM|ETHMU
DYNEX CAPITAL INC,DYNEX CAPITAL,DX|DX.PRC
Eagle Point Credit Co Inc.,EAGLE POINT CREDIT,ECC|ECC.PRD|ECCC|ECCF|ECCV|ECCW|ECCX
ENBRIDGE INC,ENBRIDGE,EBBGF|EBBNF|EBGEF|EBRGF|EBRZF|ENB|ENBFF|ENBGF|ENBHF|ENBMF|ENBNF|ENBOF|ENBRF|ENNPF
Energy Transfer LP,ENERGY TRANSFER,ET|ET.PRI
ENTERPRISE FINANCIAL SERVICES CORP,ENTERPRISE FINANCIAL SERVICES,EFSC|EFSCP|EFSG
ENTERPRISE PRODUCTS PARTNERS L.P.,ENTERPRISE PRODUCTS PARTNERS,EPD|EPDU
EPR PROPERTIES,EPR PROPERTIES,EPR|EPR.PRC|EPR.PRE|EPR.PRG
EQV Ventures Acquisition Corp.,EQV VENTURES ACQUISITION,EQV|EQV.U
ESH Acquisition Corp.,ESH ACQUISITION,ESHA|ESHAR
"ESPORTS ENTERTAINMENT GROUP, INC.",ESPORTS ENTERTAINMENT,GMBL|GMBLP
Eureka Acquisition Corp,EUREKA ACQUISITION,EURK|EURKR|EURKU
"Exela Technologies, Inc.",EXELA TECHNOLOGIES,XELA|XELAP
"F&G Annuities & Life, Inc.",F AND G ANNUITIES AND LIFE,FG|FGN|FGSN
FACT II Acquisition Corp.,FACT II ACQUISITION,FACT|FACTU
FARMERS & MERCHANTS BANCORP,FARMERS AND MERCHANTS BANCORP,FMAO|FMCB
FARMERS & MERCHANTS BANCORP INC,FARMERS AND MERCHANTS BANCORP,FMAO|FMCB
"Fat Brands, Inc",FAT BRANDS,FAT|FATBB|FATBP
FEDERAL AGRICULTURAL MORTGAGE CORP,FEDERAL AGRICULTURAL MORTGAGE,AGM|AGM.A|AGM.PRD|AGM.PRE|AGM.PRF|AGM.PRG
