CONNECTED_ORG_NM,pac_count,active_pac_count,has_any_pac_donated,total_pac_amount,has_pac,has_pac_donations
"DAY & ZIMMERMANN, INC.",1,0,False,0.0,True,False
DEERE & COMPANY,1,1,True,6000.0,True,True
"DELL TECHNOLOGIES, INC.",1,1,True,90572.0,True,True
DENBURY INC.,1,0,False,0.0,True,False
DENTONS COHEN & GRIGSBY P.C.,1,0,False,0.0,True,False
DEUTSCHE BANK AMERICAS CORP.,1,0,False,0.0,True,False
DEVON ENERGY CORPORATION,1,1,True,94000.0,True,True
DEXTER APACHE HOLDINGS INC,1,0,False,0.0,True,False
"DIAGEO NORTH AMERICA, INC.",1,0,False,0.0,True,False
"DIAMONDBACK ENERGY, INC.",1,1,True,198146.82,True,True
"DICKIE, MCCAMEY & CHILCOTE, PC",1,0,False,0.0,True,False
"DIRECT SUPPLY, INC.",1,0,False,0.0,True,False
DISCOVER FINANCIAL SERVICES,1,0,False,0.0,True,False
DISH NETWORK CORPORATION,1,1,True,5000.0,True,True
"DOMINION ENERGY, INC.",1,1,True,181043.54,True,True
DOW INC.,1,1,True,260777.95,True,True
"DRUMMOND COMPANY, INC.",1,0,False,0.0,True,False
DTE ENERGY COMPANY,1,1,True,133000.0,True,True
DUKE ENERGY CORPORATION,1,1,True,423175.98,True,True
DULCICH INC. DBA PACIFIC SEAFOOD GROUP,1,0,False,0.0,True,False
"DUNKIN' BRANDS, INC.",1,0,False,0.0,True,False
"DUPONT DE NEMOURS, INC.",1,1,True,13000.0,True,True
DYNCORP INTERNATIONAL LLC,1,0,False,0.0,True,False
E*TRADE FINANCIAL CORPORATION,1,0,False,0.0,True,False
EASTMAN CHEMICAL COMPANY,1,1,True,509000.0,True,True
EASTMAN KODAK COMPANY,1,0,False,0.0,True,False
EATON CORPORATION PUBLIC POLICY ASSOCIATION,1,1,True,8000.0,True,True
"EBAY, INC.",1,1,True,36327.06,True,True
ECOLAB INC.,1,1,True,41808.2,True,True
"EDF RENEWABLES, INC.",1,0,False,0.0,True,False
EDISON INTERNATIONAL,1,1,True,57080.0,True,True
EDWARDS LIFESCIENCES,1,1,True,504190.0,True,True
EHEALTH INC.,1,0,False,0.0,True,False
EISAI INC.,1,0,False,0.0,True,False
ELBIT SYSTEMS OF AMERICA LLC,1,0,False,0.0,True,False
ELECTRIC COOPERATIVES OF MISSISSIPPI,1,0,False,0.0,True,False
ELI LILLY AND COMPANY,1,1,True,99448.92,True,True
EMC INSURANCE COMPANIES,1,0,False,0.0,True,False
"EMD SERONO, INC.",1,0,False,0.0,True,False
EMERSON ELECTRIC CO.,1,1,True,22500.0,True,True
EMPIRE DISTRICT ELECTRIC COMPANY,1,0,False,0.0,True,False
ENBRIDGE (U.S.) INC.,1,0,False,0.0,True,False
ENCOMPASS HEALTH CORPORATION,1,1,True,4000.0,True,True
ENDO PHARMACEUTICALS INC.,1,0,False,0.0,True,False
ENERGY TRANSFER EMPLOYEE MANAGEMENT COMPANY,1,0,False,0.0,True,False
"ENERGYSOLUTIONS, INC.",1,0,False,0.0,True,False
ENGIE NORTH AMERICA,1,0,False,0.0,True,False
ENTERGY CORPORATION,1,0,False,0.0,True,False
"ENTERPRISE HOLDINGS, INC.",1,0,False,0.0,True,False
ENVISION HEALTHCARE CORPORATION,1,0,False,0.0,True,False
EQT CORPORATION,1,1,True,133688.51,True,True
"EQUIFAX INC,",1,1,True,56488.9,True,True
"EQUITABLE HOLDINGS, INC.",1,0,False,0.0,True,False
"ERICKSON & SEDERSTROM, P C",1,0,False,0.0,True,False
ERICSSON INC.,1,0,False,0.0,True,False
EVERGY AND ITS SUBSIDIARIES,1,1,True,54207.12,True,True
EVERSOURCE ENERGY,1,0,False,0.0,True,False
"EVOC REGULATORY SERVICES, INC.",1,0,False,0.0,True,False
EXELON CORPORATION,2,0,False,0.0,True,False
EXPERIAN NORTH AMERICA INC.,1,0,False,0.0,True,False
EXXON MOBIL CORPORATION,1,1,True,381950.0,True,True
"EZCORP, INC.",1,0,False,0.0,True,False
F.N.B. CORPORATION,1,0,False,0.0,True,False
FACEBOOK INC.,1,0,False,0.0,True,False
"FARMERS GROUP, INC.",1,0,False,0.0,True,False
"FBL FINANCIAL GROUP, INC.",1,0,False,0.0,True,False
FC COMPASSUS LLC,1,0,False,0.0,True,False
"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",1,1,True,91599.37,True,True
FEDEX CORPORATION,1,1,True,2291.63,True,True
FEMINIST MAJORITY,1,0,False,0.0,True,False
"FIDELITY NATIONAL FINANCIAL, INC.",1,1,True,217500.0,True,True
