company,company_norm,ticker_candidates_str,TICKER_COMMON
FEDERAL AGRICULTURAL MORTGAGE CORP,FEDERAL AGRICULTURAL MORTGAGE,AGM|AGM.A|AGM.PRD|AGM.PRE|AGM.PRF|AGM.PRG,AGM
FEDERAL HOME LOAN MORTGAGE CORP,FEDERAL HOME LOAN MORTGAGE,FMCC|FMCCG|FMCCH|FMCCI|FMCCJ|FMCCK|FMCCL|FMCCM|FMCCN|FMCCO|FMCCP|FMCCS|FMCCT|FMCKI|FMCKJ|FMCKK|FMCKL|FMCKM|FMCKN|FMCKO|FMCKP|FREGP|FREJN|FREJO|FREJP,FMCC
FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY INVESTMENT TRUST,FRT|FRT.PRC,FRT
FIFTH THIRD BANCORP,FIFTH THIRD BANCORP,FITB|FITBI|FITBO|FITBP,FITB
FINANCIAL INSTITUTIONS INC,FINANCIAL INSTITUTIONS,FIISO|FIISP|FISI,FIISO
FIRST BANCORP /NC/,FIRST BANCORP,FBP|FNLC,FBP
FIRST BUSEY CORP /NV/,FIRST BUSEY,BUSE|BUSEP,BUSE
FIRST FINANCIAL CORP /IN/,FIRST FINANCIAL,FFHMY|THFF,FFHMY
"First Guaranty Bancshares, Inc.",FIRST GUARANTY BANCSHARES,FGBI|FGBIP,FGBI
FIRST HORIZON CORP,FIRST HORIZON,FHN|FHN.PRC|FHN.PRE|FHN.PRF,FHN
First Internet Bancorp,FIRST INTERNET BANCORP,INBK|INBKZ,INBK
Flag Ship Acquisition Corp,FLAG SHIP ACQUISITION,FSHP|FSHPR|FSHPU,FSHP
"Fluent, Inc.",FLUENT,CNTMF|FLNT,CNTMF
"Fortress Biotech, Inc.",FORTRESS BIOTECH,FBIO|FBIOP,FBIO
"Fossil Group, Inc.",FOSSIL,FOSL|FOSLL,FOSL
Four Leaf Acquisition Corp,FOUR LEAF ACQUISITION,FORL|FORLU,FORL
Fox Corp,FOX,FOX|FOXA,FOX
"Franklin BSP Realty Trust, Inc.",FRANKLIN BSP REALTY TRUST,FBRT|FBRT.PRE,FBRT
FULTON FINANCIAL CORP,FULTON FINANCIAL,FULT|FULTP,FULT
Future Vision II Acquisition Corp.,FUTURE VISION II ACQUISITION,FVN|FVNNR|FVNNU,FVN
FutureTech II Acquisition Corp.,FUTURETECH II ACQUISITION,FTII|FTIIU,FTII
GABELLI MULTIMEDIA TRUST INC.,GABELLI MULTIMEDIA TRUST,GGT|GGT.PRE|GGT.PRG,GGT
GENESIS ENERGY LP,GENESIS ENERGY,GEL|GNEYF,GEL
GEO GROUP INC,GEO,GEO|GEOHF,GEO
GigCapital7 Corp.,GIGCAPITAL7,GIG|GIGGU,GIG
GLADSTONE COMMERCIAL CORP,GLADSTONE COMMERCIAL,GOOD|GOODN|GOODO,GOOD
GLADSTONE LAND Corp,GLADSTONE LAND,LAND|LANDM|LANDO|LANDP,LAND
Global Crossing Airlines Group Inc.,GLOBAL CROSSING AIRLINES,JETBF|JETMF,JETBF
Global Medical REIT Inc.,GLOBAL MEDICAL REIT,GMRE|GMRE.PRA,GMRE
"Global Net Lease, Inc.",GLOBAL NET LEASE,GNL|GNL.PRA|GNL.PRB|GNL.PRD|GNL.PRE,GNL
GLOBAL PARTNERS LP,GLOBAL PARTNERS,GLP|GLP.PRB,GLP
GLOBAL TECHNOLOGIES LTD,GLOBAL TECHNOLOGIES,GTGP|GTLL,GTGP
GLOBALINK INVESTMENT INC.,GLOBALINK INVESTMENT,GLLI|GLLIR|GLLIU,GLLI
GLOBE LIFE INC.,GLOBE LIFE,GL|GL.PRD,GL
Goal Acquisitions Corp.,GOAL ACQUISITIONS,PUCK|PUCKU,PUCK
Goldenstone Acquisition Ltd.,GOLDENSTONE ACQUISITION,GDST|GDSTR|GDSTU,GDST
GOLDMAN SACHS GROUP INC,GOLDMAN SACHS,GS|GS.PRA|GS.PRC|GS.PRD|GSCE,GS
GP-Act III Acquisition Corp.,GP ACT III ACQUISITION,GPAT|GPATU,GPAT
Graf Global Corp.,GRAF GLOBAL,GRAF|GRAF.U,GRAF
GRAHAM CORP,GRAHAM,GHC|GHM,GHC
Granite Point Mortgage Trust Inc.,GRANITE POINT MORTGAGE TRUST,GPMT|GPMT.PRA,GPMT
Great Elm Capital Corp.,GREAT ELM CAPITAL,GECC|GECCI|GECCO,GECC
Greenidge Generation Holdings Inc.,GREENIDGE GENERATION,GREE|GREEL,GREE
"GREIF, INC",GREIF,GEF|GEF.B,GEF
HANCOCK WHITNEY CORP,HANCOCK WHITNEY,HWC|HWCPZ,HWC
HAVERTY FURNITURE COMPANIES INC,HAVERTY FURNITURE COMPANIES,HVT|HVT.A,HVT
Haymaker Acquisition Corp. 4,HAYMAKER ACQUISITION CORP 4,HYAC|HYAC.U,HYAC
HECLA MINING CO/DE/,HECLA MINING,HL|HL.PRB,HL
HEICO CORP,HEICO,HEI|HEI.A,HEI
HENNESSY ADVISORS INC,HENNESSY ADVISORS,HNNA|HNNAZ,HNNA
"Hepion Pharmaceuticals, Inc.",HEPION PHARMACEUTICALS,CTRVP|HEPA,CTRVP
"Hercules Capital, Inc.",HERCULES CAPITAL,HCXY|HTGC,HCXY
