company,company_norm
Fortune Rise Acquisition Corp,FORTUNE RISE ACQUISITION
FORWARD AIR CORP,FORWARD AIR
"Forza X1, Inc.",FORZA X1
FOSTER L B CO,FOSTER L B
Franklin Templeton Digital Holdings Trust,FRANKLIN TEMPLETON DIGITAL HOLDINGS TRUST
"Fresh Vine Wine, Inc.",FRESH VINE WINE
"FREYR Battery, Inc. /DE/",FREYR BATTERY
FS Credit Income Fund,FS CREDIT INCOME FUND
FTAC Emerald Acquisition Corp.,FTAC EMERALD ACQUISITION
fuboTV Inc. /FL,FUBOTV INC FL
FULLER H B CO,FULLER H B
Fundamental Global Inc.,FUNDAMENTAL GLOBAL
Galaxy Enterprises Inc. /WY/,GALAXY ENTERPRISES
"GALAXY NEXT GENERATION, INC.",GALAXY NEXT GENERATION
"Gatos Silver, Inc.",GATOS SILVER
GEORGIA POWER CO,GEORGIA POWER
GLADSTONE INVESTMENT CORPORATION\DE,GLADSTONE INVESTMENT CORPORATION DE
GLOBAL ACQUISITIONS Corp,GLOBAL ACQUISITIONS
Global Blockchain Acquisition Corp.,GLOBAL BLOCKCHAIN ACQUISITION
Global Lights Acquisition Corp,GLOBAL LIGHTS ACQUISITION
Global Star Acquisition Inc.,GLOBAL STAR ACQUISITION
GMS Inc.,GMS
"GOLD ROCK HOLDINGS, INC.",GOLD ROCK
Golden Star Acquisition Corp,GOLDEN STAR ACQUISITION
Goldman Sachs Physical Gold ETF,GOLDMAN SACHS PHYSICAL GOLD ETF
GRAY TELEVISION INC,GRAY TELEVISION
Grayscale Bitcoin Trust ETF,GRAYSCALE BITCOIN TRUST ETF
Greenbrook TMS Inc.,GREENBROOK TMS
"Gryphon Digital Mining, Inc.",GRYPHON DIGITAL MINING
GSR III Acquisition Corp.,GSR III ACQUISITION
GUARANTY BANCSHARES INC /TX/,GUARANTY BANCSHARES
"H&E Equipment Services, Inc.",H AND E EQUIPMENT SERVICES
"Hanover Bancorp, Inc. /NY",HANOVER BANCORP INC NY
"Hanryu Holdings, Inc.",HANRYU
"HARTFORD FINANCIAL SERVICES GROUP, INC.",HARTFORD FINANCIAL SERVICES
HEARTLAND FINANCIAL USA INC,HEARTLAND FINANCIAL USA
"Heliogen, Inc.",HELIOGEN
Helix Acquisition Corp. II,HELIX ACQUISITION CORP II
Hennessy Capital Investment Corp. VI,HENNESSY CAPITAL INVESTMENT CORP VI
HESS CORP,HESS
"HilleVax, Inc.",HILLEVAX
HILLS BANCORPORATION,HILLS BANCORPORATION
"HomeStreet, Inc.",HOMESTREET
Hudson Acquisition I Corp.,HUDSON ACQUISITION I
"Hudson Global, Inc.",HUDSON GLOBAL
HUDSON TECHNOLOGIES INC /NY,HUDSON TECHNOLOGIES INC NY
HUNT J B TRANSPORT SERVICES INC,HUNT J B TRANSPORT SERVICES
Hyzon Motors Inc.,HYZON MOTORS
ICAD INC,ICAD
"ICC Holdings, Inc.",ICC
ICU MEDICAL INC/DE,ICU MEDICAL INC DE
"IDEANOMICS, INC.",IDEANOMICS
IDEXX LABORATORIES INC /DE,IDEXX LABORATORIES INC DE
"IGM Biosciences, Inc.",IGM BIOSCIENCES
"Ikena Oncology, Inc.",IKENA ONCOLOGY
"Inari Medical, Inc.",INARI MEDICAL
"Independence Contract Drilling, Inc.",INDEPENDENCE CONTRACT DRILLING
INDEPENDENT BANK CORP,INDEPENDENT BANK
INDEPENDENT BANK CORP /MI/,INDEPENDENT BANK
Infinera Corp,INFINERA
Inflection Point Acquisition Corp. II,INFLECTION POINT ACQUISITION CORP II
"Inozyme Pharma, Inc.",INOZYME PHARMA
"InPoint Commercial Real Estate Income, Inc.",INPOINT COMMERCIAL REAL ESTATE INCOME
Insight Acquisition Corp. /DE,INSIGHT ACQUISITION CORP DE
Insight Select Income Fund,INSIGHT SELECT INCOME FUND
"INTEGRATED VENTURES, INC.",INTEGRATED VENTURES
IntelGenx Technologies Corp.,INTELGENX TECHNOLOGIES
INTEVAC INC,INTEVAC
"Intra-Cellular Therapies, Inc.",INTRA CELLULAR THERAPIES
Invesco CurrencyShares Australian Dollar Trust,INVESCO CURRENCYSHARES AUSTRALIAN DOLLAR TRUST
Invesco Galaxy Bitcoin ETF,INVESCO GALAXY BITCOIN ETF
Investcorp AI Acquisition Corp.,INVESTCORP AI ACQUISITION
Invizyne Technologies Inc,INVIZYNE TECHNOLOGIES
Iris Acquisition Corp,IRIS ACQUISITION
Iron Horse Acquisitions Corp.,IRON HORSE ACQUISITIONS
iShares Silver Trust,ISHARES SILVER TRUST
ISSUER DIRECT CORP,ISSUER DIRECT
"iTeos Therapeutics, Inc.",ITEOS THERAPEUTICS
"J.Jill, Inc.",J JILL
Janover Inc.,JANOVER
John Bean Technologies CORP,JOHN BEAN TECHNOLOGIES
JUNIPER NETWORKS INC,JUNIPER NETWORKS
JVSPAC Acquisition Corp.,JVSPAC ACQUISITION
"KINETA, INC./DE",KINETA INC DE
"KIRKLAND'S, INC",KIRKLAND S
"KNOW LABS, INC.",KNOW LABS
"Kronos Bio, Inc.",KRONOS BIO
KVH INDUSTRIES INC DE,KVH INDUSTRIES INC DE
LANCASTER COLONY CORP,LANCASTER COLONY
Landsea Homes Corp,LANDSEA HOMES
"Leafly Holdings, Inc. /DE",LEAFLY HOLDINGS INC DE
Leet Technology Inc.,LEET TECHNOLOGY
LEHMAN ABS CORP GOLDMAN SACHS CAP 1 SEC BACKED SER 2004-6,LEHMAN ABS CORP GOLDMAN SACHS CAP 1 SEC BACKED SER 2004 6
"LIFECORE BIOMEDICAL, INC. \DE\",LIFECORE BIOMEDICAL INC DE
LIONS GATE ENTERTAINMENT CORP /CN/,LIONS GATE ENTERTAINMENT
LITTELFUSE INC /DE,LITTELFUSE INC DE
Local Bounti Corporation/DE,LOCAL BOUNTI CORPORATION DE
Lode-Star Mining Inc.,LODE STAR MINING
Logan Ridge Finance Corp.,LOGAN RIDGE FINANCE
LOGITECH INTERNATIONAL S.A.,LOGITECH INTERNATIONAL S A
"Longboard Pharmaceuticals, Inc.",LONGBOARD PHARMACEUTICALS
"Loop Media, Inc.",LOOP MEDIA
LOWES COMPANIES INC,LOWES COMPANIES
"Luminar Technologies, Inc./DE",LUMINAR TECHNOLOGIES INC DE
"LUMOS PHARMA, INC.",LUMOS PHARMA
LUXURBAN HOTELS INC.,LUXURBAN HOTELS
"Manitex International, Inc.",MANITEX INTERNATIONAL
MARIN SOFTWARE INC,MARIN SOFTWARE
"MARINUS PHARMACEUTICALS, INC.",MARINUS PHARMACEUTICALS
Markforged Holding Corp,MARKFORGED
Mars Acquisition Corp.,MARS ACQUISITION
"Matterport, Inc./DE",MATTERPORT INC DE
MAYS J W INC,MAYS J W
MCDONALDS CORP,MCDONALDS
McEwen Mining Inc.,MCEWEN MINING
"MedMen Enterprises, Inc.",MEDMEN ENTERPRISES
"MEI Pharma, Inc.",MEI PHARMA
Melar Acquisition Corp. I/Cayman,MELAR ACQUISITION CORP I CAYMAN
MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003-1,MERRILL LYNCH DEPOSITOR INC INDEXPLUS TRUST SERIES 2003 1
Merus N.V.,MERUS N V
MESA ROYALTY TRUST/TX,MESA ROYALTY TRUST TX
Metal Sky Star Acquisition Corp,METAL SKY STAR ACQUISITION
MGO Global Inc.,MGO GLOBAL
MICROPAC INDUSTRIES INC,MICROPAC INDUSTRIES
MICROSTRATEGY Inc,MICROSTRATEGY
"Mill City Ventures III, Ltd",MILL CITY VENTURES III
Minerva Gold Inc.,MINERVA GOLD
MKS INSTRUMENTS INC,MKS INSTRUMENTS
"Molecular Templates, Inc.",MOLECULAR TEMPLATES
"Mondee Holdings, Inc.",MONDEE
MONEYLION INC.,MONEYLION
Monogram Technologies Inc.,MONOGRAM TECHNOLOGIES
MOODYS CORP /DE/,MOODYS
MULLEN AUTOMOTIVE INC.,MULLEN AUTOMOTIVE
"MULTI SOLUTIONS II, INC",MULTI SOLUTIONS II
MultiPlan Corp,MULTIPLAN
NANOPHASE TECHNOLOGIES Corp,NANOPHASE TECHNOLOGIES
"NantHealth, Inc.",NANTHEALTH
"NATHANS FAMOUS, INC.",NATHANS FAMOUS
NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE
NATURES SUNSHINE PRODUCTS INC,NATURES SUNSHINE PRODUCTS
"NAYA Biosciences, Inc.",NAYA BIOSCIENCES
"NeueHealth, Inc.",NEUEHEALTH
NEURALBASE AI LTD.,NEURALBASE AI
NEVRO CORP,NEVRO
NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP,NEW ENGLAND REALTY ASSOCIATES LIMITED PARTNERSHIP
NEW ERA HELIUM INC.,NEW ERA HELIUM
