brand_raw,suggested_canonical,score
Food Restaurant,Restaurant Supplies,80.0
Schools First Credit Union,Ent Credit Union,85.71428571428571
Legos,Lego,88.88888888888889
Key Food Supermarkets,Ctown Supermarkets,80.0
Byte Dance,Bytedance,84.21052631578948
Mcdonald Restaurant,Food Restaurant,80.0
Pilgrim'S Pride Corpartion,Pilgrim'S Pride Corp,86.95652173913044
Michales,Michaels,87.5
Hermes,Hers,80.0
Sam'S Wholesale,Bjs Wholesale,81.81818181818181
Parr Lumber,Carter Lumber,83.33333333333333
Missouri Star Quilts,Missouri Star Quilt Company,80.85106382978724
Popshelf,Pop Shelf,82.35294117647058
Tostitos,Totinos,80.0
Suburu,Subaru,83.33333333333333
Cider Clothing,Cabi Clothing,81.48148148148148
Country Financial,Lpl Financial,81.81818181818181
Mom'S Organic Market,My Organic Market (Mom),83.72093023255815
Jewel Grocery,> > Jewel,83.33333333333333
Austin Telco Federal Credit Union,Navy Federal Credit Union,88.88888888888889
Goosecreek Candle Company,Harlem Candle Company,80.0
Peets Coffee,Bees Coffee,86.95652173913044
Abebooks,Abe Books,82.35294117647058
All American Clothing Co,All Usa Clothing,85.71428571428571
United Concordia Dental Insurance,Car Insurance,81.81818181818181
Planet Beauty,A Beauty,85.71428571428571
Town & Country Market,> > Town,80.0
Yokes Fresh Markets,Dg Markets,82.35294117647058
Drive Time,Drivetime,84.21052631578948
EOS,ECOS,85.71428571428571
> > Canes > >,Raising Canes,83.33333333333333
Keh Consulting Services,Consulting Llc,83.33333333333333
USA,USAA,85.71428571428571
Cosco Kids,> > Cosco > >,83.33333333333333
Hungry Howies,Hungry Howie'S,88.88888888888889
Sherman Williams,Sherwin Williams,87.5
Champy'S Chicken,Cane'S Chicken,80.0
Viori,Vouri,80.0
Weigels,Weigel'S,80.0
Shipley Donuts,Shipley Do-Nuts,89.65517241379311
Dr. Squash,Dr. Squatch,85.71428571428571
Flutter Entertainment,Mga Entertainment,86.66666666666667
Pioneer Federal Credit Union,Navy Federal Credit Union,88.88888888888889
Peace Coffee,Peets Coffee,83.33333333333333
Justice Federal Credit Union,Navy Federal Credit Union,88.88888888888889
Rocky Brands Inc,Rj Brands,80.0
Jeffree Star Cosmetics,Mac Cosmetics,81.81818181818181
Zoa Energy Drinks,C4 Energy Drinks,89.65517241379311
Mom'S Supermarket,Pet Supermarket,84.61538461538461
Wellness Pet Llc,Wellness Dog,80.0
Axia Health Management,Fj Management,86.95652173913044
Mountain Warehouse,Abc Warehouse,81.81818181818181
Altrd State,Altar'D State,83.33333333333333
E News,News Max .Com,80.0
Le Creust,Le Crueset,84.21052631578948
State Farms,Upstate Farms,83.33333333333333
Internet Brands,Rj Brands,80.0
The Energy Drink Company,Paloma Vmc. The Canelo Álvarez Drink And Company,82.92682926829268
My Favorite Mexican Supermarket,Pet Supermarket,84.61538461538461
North Country Federal Credit Union,Navy Federal Credit Union,88.88888888888889
Restaurant Brands International,Vogue International,81.25
Hey Dudes Sneakers,On Sneakers,84.21052631578948
Crystal Farms,Coastal Farm,80.0
Kvd Beauty,A Beauty,85.71428571428571
Jo-Ann Fabric,Joanns Fabrics,81.48148148148148
Chicago'S Pizza,Chicho'S Pizza,89.65517241379311
> > Pan Pacific International > >,Pacific Market International,87.5
Hannaford Supermarket,Pet Supermarket,84.61538461538461
First Advantage Credit Union,Ent Credit Union,85.71428571428571
Tate,Tarte,88.88888888888889
Beauty Masters,A Beauty,85.71428571428571
Aldis,Aldi,88.88888888888889
Macys,Macy,88.88888888888889
Wendy,Wendy'S,83.33333333333333
Canes Chicken,Cane'S Chicken,88.88888888888889
Investment Firm,Fisher Investments,84.84848484848484
Music Center,Micro Center,83.33333333333333
Bel Brands,Rj Brands,80.0
Tommy Johns,Jimmy Johns,81.81818181818181
> > Community Financial Credit Union > >,Community First Credit Union,88.0
All Elite Wrestling,Aew Wrestling,81.81818181818181
Marrieta Family Restaurants,Bjs Restaurants,84.61538461538461
Parkrose Hardware,Carr Hardware,80.0
Commonwealth Credit Union,Ent Credit Union,85.71428571428571
Jones Financial Companies (Owns Edward Jones),Lpl Financial,81.81818181818181
Ta Associates,Topco Associates,86.95652173913044
Giant Grocery Store,Giant Eagle Grocery Stores,84.44444444444444
Rouses—A Regional Grocery Store Chain In The La,Final Grocery Store,81.25
Uggs,Ugg,85.71428571428571
Fage International,Vogue International,86.48648648648648
Little Caesars Pizza,Little Ceasar'S Pizza,87.8048780487805
Marshall,Marshall'S,88.88888888888889
Lg Appliances,Ge Appliance,80.0
Bancorp Bank National Association,National Rifle Association,86.95652173913044
Human Bean Coffee,The Human Bean,83.33333333333333
Wescom Credit Union,Ent Credit Union,85.71428571428571
Pete'S Coffee,Peace Coffee,80.0
Puritans Pride,Puritan'S Pride,89.65517241379311
The Wright Management Group Llc,Fj Management,86.95652173913044
Johnson & Johnson,Mike Johnson,87.5
Aldi'S,Aldi,80.0
Snap Inc,Gap Inc,80.0
Harveys Supermarket,Pet Supermarket,84.61538461538461
Trader'S Joe,Trader Joes,86.95652173913044
International House Of Pancakes,Fage International,83.87096774193549
American Family Insurance,Car Insurance,81.81818181818181
Coles,Coldest,83.33333333333333
Rallys,Wallys,83.33333333333333
Maynards,Menards,80.0
Whole Food Store,Whole Food 365,83.33333333333333
Fairway Supermarket,Pet Supermarket,84.61538461538461
Duck Donuts,Duck Doughnuts,88.0
Max Warehouse,Mountain Warehouse,81.81818181818181
A+ Stairlift,Mobile Stairlift,85.71428571428571
Raising Cain,Raising Canes,88.0
Cars,Carrs,88.88888888888889
Patelco Credit Union,Ent Credit Union,85.71428571428571
Hy-Ver,Hy-Vee,83.33333333333333
Gourmet Foods International,Fage International,83.87096774193549
Good Year,Goodyear,82.35294117647058
Rhode Beauty,A Beauty,85.71428571428571
Talus Restaurant In Papillion Ne,Food Restaurant,80.0
Mountain Voyager,Mountain Dew,80.0
Ball,Bealls,80.0
Los Angeles Area,Cedars-Sinai Hospital Los Angeles,81.48148148148148
Clinic W,Mayo Clinic,85.71428571428571
Mcalister'S,Mcallisters,81.81818181818181
Holstery,Hollister,82.35294117647058
Sams Club,Sam'S Club,84.21052631578948
Cvc Pharmacy,Crab Orchard Pharmacy,80.0
Brothers Market,Mothers Market,89.65517241379311
Kc Market,Urban Market,80.0
> > Lowes > >,Lowes Foods In Nc,83.33333333333333
Detroit Lions. I Saw You Listed Kansas Chiefs,Kansas City Chiefs,83.87096774193549
Black Market Mineral,Kc Market,80.0
US,USA,80.0
Hagerty,Haverty,85.71428571428571
General Insurance,Car Insurance,81.81818181818181
Town & Country Veteranarian,Town & Country Market,80.0
Sauer Brands,Rj Brands,80.0
Gelson'S,Gelsons,80.0
Eastern Mountain Sports,Mountain Dew,80.0
Jerome'S,Jeromes,80.0
Team National,National Tire,84.61538461538461
Aspiration - Eco Friendly Banking,Aspiration Bank,80.0
84 Lumber,Dunn Lumber,80.0
Jc Penneys,Jc Penny,88.88888888888889
The Grand Restaurant,The Melting Pot Restaurant,82.35294117647058
Pet Care Rx,Merrick Pet Care,84.21052631578948
Spahn,Spanx,80.0
Freddy'S Smashburgers,Freddy'S Steakburgers,85.71428571428571
Dr. Bronners,Bronners Christmas Wonderland,80.0
Navigant Credit Union,Ent Credit Union,85.71428571428571
> > Nathans Kosher Hot Dogs > >,Nathans Hot Dog,84.61538461538461
Healthpartners,Health Partners,89.65517241379311
ATT,AT&T,85.71428571428571
The Culinary Insitute Of America,Bank Of America,80.0
Blue Fed,Blue Feb,87.5
Alen Industries,Tootsie Roll Industries,80.0
Nugget Markets,Dg Markets,82.35294117647058
Wholesum,Wholesome,82.35294117647058
Land'S End,Lands End,84.21052631578948
New York Yankees,Ny Yankees,82.35294117647058
Hobbie Lobby,Hobby Lobby,86.95652173913044
News Break National Headlines,E News,80.0
Anthropologie,Anthropology,88.0
Del Monte,Delmonte,82.35294117647058
Kinders,Kinder'S,80.0
Giant Eagle In Pittsburgh,Giant Eagle In Ohio,84.84848484848484
Black Eye Peas Restaurant,Food Restaurant,80.0
Plexus,Plex,80.0
Azure Market,Kc Market,80.0
Sw Airlines,Alaska Airlines,84.21052631578948
Burkes,Bourke,83.33333333333333
Sprout'S,Sprouts,80.0
Bank Of Weston,Bank Of The West,80.0
Kendall Electric,General Electric,81.25
Joanne'S Fabric,Joanns Fabrics,82.75862068965517
Liquid Iv,Liquid Health,80.0
Kings Dominion,King'S Dominion,89.65517241379311
Boxlunch,Box Lunch,82.35294117647058
Primary,Primark,85.71428571428571
Prada,Prana,80.0
Coborns. It'S A Grocery Store In Mn,Final Grocery Store,81.25
Tyson,Dyson,80.0
Dwayne Johnson,Johnson & Johnson,87.5
Duane Johnson,Dwayne Johnson,88.88888888888889
Market 32,Kc Market,80.0
Cic Ventures,Redpoint Ventures,80.0
Methodist Healthcare Ministries,Moda Healthcare,80.0
Black Rock Coffee Bar,Blackrock Coffee,81.08108108108108
Sirius,Serius,83.33333333333333
Redners Grocery Store,Rouses Grocery Store,82.92682926829268
