CMTE_ID,CMTE_NM,CONNECTED_ORG_NM,CMTE_TP,ORG_TP,committee_name_clean,TOTAL_AMOUNT,HAS_DONATED,FIRST_CYCLE,LAST_CYCLE
C00367375,SAP AMERICA INC PAC,"SAP AMERICA, INC.",Q,C,sap america inc,0.0,False,,
C00368720,STERIS CORPORATION EMPLOYEE POLITICAL ACTION COMMITTEE (A.K.A. STERIS EMPLOYEE PAC),STERIS CORPORATION,Q,C,steris corporation employee a k a steris employee,0.0,False,,
C00368902,"DAVID VOLKERT & ASSOCIATES, INC. POLITICAL ACTION COMMITTEE ('DVA/HC PAC')","DAVID VOLKERT & ASSOCIATES, INC.",Q,C,david volkert associates inc dva hc,0.0,False,,
C00368993,WINNING STRATEGIES WASHINGTON PAC,NONE,Q,C,winning strategies washington,0.0,False,,
C00369058,"VAN SCOYOC ASSOCIATES, INC. PAC",VAN SCOYOC ASSOCIATES,Q,C,van scoyoc associates inc,0.0,False,,
C00370015,NELNET INC PAC (NELNET PAC),"NELNET, INC.",Q,C,nelnet inc nelnet,0.0,False,,
C00370023,ANALYTICAL GRAPHICS INC PAC (AGI PAC),ANALYTICAL GRAPHICS INC,Q,C,analytical graphics inc agi,0.0,False,,
C00370270,COOPER TIRE & RUBBER COMPANY POLITICAL ACTION COMMITTEE,COOPER TIRE & RUBBER COMPANY POLITICAL ACTION COMMITTEE,Q,C,cooper tire rubber company,0.0,False,,
C00370577,WORLD ACCEPTANCE CORPORATION POLITICAL ACTION COMMITTEE,WORLD ACCEPTANCE CORPORATION,Q,C,world acceptance corporation,0.0,False,,
C00370585,MAXAR TECHNOLOGIES INC. PAC (MAXARPAC),MAXAR TECHNOLOGIES INC.,Q,C,maxar technologies inc maxarpac,0.0,False,,
C00371088,INTERACTIVE CORP POLITICAL ACTION COMMITTEE AKA IACPAC,IAC/INTERACTIVECORP,Q,C,interactive corp aka iacpac,0.0,False,,
C00371385,ALEX LEE INC PAC,"ALEX LEE, INC.",Q,C,alex lee inc,0.0,False,,
C00371948,BRIDGESTONE AMERICAS INC. PAC,BRIDGESTONE AMERICAS INC.,Q,C,bridgestone americas inc,0.0,False,,
